Start Date,11/20/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGM US 08/17/18 C95 Equity,Dates,43059,11/21/2017,11/22/2017,11/23/2017,11/24/2017,11/27/2017,11/28/2017,11/29/2017,11/30/2017,12/1/2017,12/4/2017,12/5/2017,12/6/2017,12/7/2017,12/8/2017,12/11/2017,12/12/2017,12/13/2017,12/14/2017,12/15/2017,12/18/2017,12/19/2017,12/20/2017,12/21/2017,12/22/2017,12/25/2017,12/26/2017,12/27/2017,12/28/2017,12/29/2017,1/1/2018,1/2/2018,1/3/2018,1/4/2018,1/5/2018,1/8/2018,1/9/2018,1/10/2018,1/11/2018,1/12/2018,1/15/2018,1/16/2018,1/17/2018,1/18/2018,1/19/2018,1/22/2018,1/23/2018,1/24/2018,1/25/2018,1/26/2018,1/29/2018,1/30/2018,1/31/2018,2/1/2018,2/2/2018,2/5/2018,2/6/2018,2/7/2018,2/8/2018,2/9/2018,2/12/2018,2/13/2018,2/14/2018,2/15/2018,2/16/2018,2/19/2018,2/20/2018,2/21/2018,2/22/2018,2/23/2018,2/26/2018,2/27/2018,2/28/2018,3/1/2018,3/2/2018,3/5/2018,3/6/2018,3/7/2018,3/8/2018,3/9/2018,3/12/2018,3/13/2018,3/14/2018,3/15/2018,3/16/2018,3/19/2018,3/20/2018,3/21/2018,3/22/2018,3/23/2018,3/26/2018,3/27/2018,3/28/2018,3/29/2018,3/30/2018,4/2/2018,4/3/2018,4/4/2018,4/5/2018,4/6/2018,4/9/2018,4/10/2018,4/11/2018,4/12/2018,4/13/2018,4/16/2018,4/17/2018,4/18/2018,4/19/2018,4/20/2018,4/23/2018,4/24/2018,4/25/2018,4/26/2018,4/27/2018,4/30/2018,5/1/2018,5/2/2018,5/3/2018,5/4/2018,5/7/2018,5/8/2018,5/9/2018,5/10/2018,5/11/2018,5/14/2018,5/15/2018,5/16/2018,5/17/2018,5/18/2018,5/21/2018,5/22/2018,5/23/2018,5/24/2018,5/25/2018,5/28/2018,5/29/2018,5/30/2018,5/31/2018,6/1/2018,6/4/2018,6/5/2018,6/6/2018,6/7/2018,6/8/2018,6/11/2018,6/12/2018,6/13/2018,6/14/2018,6/15/2018,6/18/2018,6/19/2018,6/20/2018,6/21/2018,6/22/2018,6/25/2018,6/26/2018,6/27/2018,6/28/2018,6/29/2018,7/2/2018,7/3/2018,7/4/2018,7/5/2018,7/6/2018,7/9/2018,7/10/2018,7/11/2018,7/12/2018,7/13/2018,7/16/2018,7/17/2018,7/18/2018,7/19/2018,7/20/2018,7/23/2018,7/24/2018,7/25/2018
Implied Volatility Using Ask Price,IVOL_ASK,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,34.428,39.069,31.026,33.911,31.093,31.093,30.496,31.236,31.208,30.322,30.322,30.772,30.914,30.829,30.474,30.714,30.511,31.426,31.661,32.388,32.388,31.348,30.341,31.372,31.265,30.38,30.232,31.072,32.985,34.662,31.43,33.222,37.601,31.612,33.456,36.267,39.922,33.671,40.766,38.62,33.955,37.136,34.057,31.629,32.003,32.003,31.356,35.238,35.107,33.42,35.487,35.326,37.641,40.955,35.684,37.207,38.57,44.96,41.371,36.566,36.501,36.514,35.27,34.902,36.802,39.216,35.168,37.208,36.583,43.025,36.443,37.067,40.164,41.351,41.351,38.019,40.397,39.406,37.005,38.046,41.435,38.13,39.552,38.749,38.605,38.853,37.87,38.724,39.093,37.993,38.567,37.892,38.482,38.622,37.761,38.972,42.444,44.691,38.74,47.766,49.346,40.984,40.556,36.518,35.462,35.373,37.447,33.843,33.382,32.853,33.457,34.987,33.371,37.167,33.475,33.475,35.809,34.417,37.988,34.168,41.68,37.026,33.434,33.625,36.842,36.36,34.042,36.107,35.212,35.462,35.476,36.432,39.445,39.651,37.147,37.052,36.976,37.476,37.033,37.74,38.597,38.686,38.686,38.648,39.947,38.487,39.686,39.774,39.589,40.778,40.919,40.268,41.428,41.158,40.88,44.098,43.516,45.259
End of Day Option Price Ask,EOD_OPTION_PRICE_ASK,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.9000001,4.0999999,2.54999995,3.4000001,3.29999995,3.29999995,2.79999995,2.70000005,2.8499999,2.5,2.5,2.70000005,2.4000001,2.1500001,2.0999999,1.85000002,2.25,2.5,2.9000001,3.4000001,3.4000001,3.20000005,2.5,2.4000001,2.9000001,2.5,2.8499999,2.9000001,3.29999995,3.5,2.95000005,3.4000001,4.19999981,3,2.79999995,2.25,2.70000005,2.1500001,2.8499999,2.70000005,1.85000002,2.3499999,2.75,2.8499999,2.95000005,2.95000005,2.45000005,3.9000001,3.70000005,3.5,3.70000005,2.79999995,2.45000005,3.20000005,2.6500001,3.20000005,3.5999999,5.4000001,7.4000001,4.69999981,4.5999999,4.80000019,4.9000001,4.9000001,5.69999981,6.30000019,4.4000001,5.4000001,5.5,5.5,4.5,4,5.5999999,5.9000001,5.9000001,4.19999981,5.0999999,4.80000019,4.5999999,4.80000019,4.69999981,4.19999981,3.9000001,4.0999999,3.5999999,4.0999999,4.0999999,4.5,5.5999999,5.80000019,6.0999999,5.80000019,4.9000001,4.5999999,4,4,5.0999999,6.19999981,4.0999999,5.5999999,6.19999981,4.80000019,5,4.5,4.0999999,3.9000001,4.30000019,4.4000001,4.5999999,4.0999999,4.4000001,5.0999999,4.30000019,5.5,4.5999999,4.5999999,4.30000019,4.80000019,5.80000019,5.30000019,6.69999981,5.19999981,4.80000019,4.4000001,4.5,4.4000001,3.70000005,4,3.70000005,4.5999999,4.9000001,5.4000001,6.0999999,5.9000001,5.4000001,4.0999999,4.69999981,3.4000001,3,2.8499999,3.9000001,3.5,3.5,4,4.19999981,4.80000019,4.4000001,4.69999981,4.30000019,4.4000001,4.30000019,4,4.19999981,4.30000019,4.5,5.0999999,5.5,5.69999981
End of Day Option Price Bid,EOD_OPTION_PRICE_BID,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.39999998,1.64999998,1.95000005,2,2.3499999,2.3499999,2.0999999,1.89999998,2.04999995,2.1500001,2.1500001,1.95000005,0.75,1.60000002,1.5,1.35000002,1.70000005,1.70000005,2.0999999,2.4000001,2.4000001,2.5,1.89999998,1.79999995,2.1500001,1.54999995,2.25,2.1500001,2.04999995,2,2.29999995,1.39999998,0.5,1.5,1.25,1,0.89999998,1.35000002,1.04999995,1,1.29999995,1.29999995,1.60000002,1.5,1.35000002,1.35000002,1.95000005,1.75,2.29999995,2.1500001,1.60000002,1.79999995,1.35000002,1.5,1.54999995,1.29999995,1.85000002,1.04999995,4,3.20000005,2.79999995,2.45000005,3.79999995,3.5999999,4.4000001,3.79999995,3.4000001,2.1500001,2.5999999,2.70000005,3.70000005,2.79999995,3.79999995,4.30000019,4.30000019,2.9000001,3.4000001,3.4000001,3.5,3.4000001,3.20000005,3.0999999,2.9000001,3,2.3499999,2.95000005,3.0999999,2.9000001,4.5,4.80000019,4.80000019,4.80000019,3.9000001,3.5,2.79999995,2.75,1.85000002,2.75,2.5,2.1500001,2.8499999,3.5999999,3.70000005,3.0999999,2.5999999,2.4000001,2.95000005,3.4000001,3.70000005,3.29999995,3.70000005,4.19999981,3.70000005,3.9000001,4,4,3.29999995,4,4.5,4.5,5.0999999,3.9000001,4,3.79999995,3.5,3.4000001,3,3,2.75,3.5999999,3.29999995,4.4000001,4.19999981,4.4000001,4.30000019,3.5,3.9000001,2.9000001,2.45000005,2.1500001,3.20000005,2.70000005,2.70000005,3.29999995,3.4000001,4.4000001,3.9000001,4.19999981,3.5999999,3.5999999,3.9000001,3.5,3.5999999,3.79999995,4,4.4000001,4.69999981,5
End of Day Underlying Price Ask,EOD_UNDERLYING_PRICE_ASK,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,76.11000061,77.08000183,77.47000122,78.36000061,80.19999695,80.19999695,78.93000031,78.38999939,79.02999878,78.30500031,78.30500031,78.80000305,77.58000183,76.68000031,76.83000183,75.44000244,77.55999756,78.08999634,79.54000092,80.95999908,80.95999908,81.20999908,78.98000336,77.87999725,80.13999939,79.25,80.86000061,80.48999786,80.75,80.04000092,80.73000336,81.08999634,80.62999725,81.15000153,78.90000153,74.79000092,74.62000275,77.15499878,74.79000092,75.48999786,75.12999725,75.53500366,80.16999817,81.51999664,81.73999786,81.73999786,80.16000366,82.76000214,82.39499664,82.69999695,82.18000031,79.23999786,76.33999634,77.56999969,79.72000122,80.66000366,80.89499664,82.63999939,90,85.12999725,85.65000153,86.26999664,87.08000183,87.51499939,88.13999939,88.26000214,85.68499756,87.36000061,88,84.63500214,85.66500092,84.15000153,86.77999878,86.91999817,86.91999817,84.41000366,85.62999725,85.54000092,86.44999695,86.51000214,84.76000214,85.25,83.79000092,84.93000031,83.79000092,85.27500153,85.75,86.76000214,89.38999939,90.33999634,90.77500153,90.41999817,88.18000031,87.38999939,86.16999817,85.73999786,87.55000305,89.26000214,86.40000153,87.01000214,88.5,88.45999908,89.02999878,89.63999939,89.01000214,88.79000092,89.09999847,90.84999847,91.66000366,90.76000214,91.375,92.47000122,91.30999756,92.63999939,92.20999908,92.20999908,90.90000153,92.66999817,93.51000214,93.94999695,94.52999878,93.02999878,93.47000122,92.66999817,91.83999634,92.13999939,91.23000336,91.46499634,90.66999817,92.70999908,93.61000061,94.40000153,94.95999908,94.62999725,94.48500061,92.16999817,93.56999969,90.63999939,89.88999939,89.37999725,92.09999847,91.27999878,91.27999878,92.69000244,92.90000153,94.84999847,93.91000366,94.61000061,94,94.05999756,94.26000214,93.94999695,94.25,94.65499878,95.23999786,96.19000244,97.12000275,97.33000183
End of Day Underlying Price Bid,EOD_UNDERLYING_PRICE_BID,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,76.11000061,77.08000183,77.47000122,78.36000061,80.19999695,80.19999695,78.93000031,78.38999939,79.02999878,78.30500031,78.30500031,78.80000305,77.58000183,76.68000031,76.83000183,75.44000244,77.55999756,78.08999634,79.54000092,80.95999908,80.95999908,81.20999908,78.98000336,77.87999725,80.13999939,79.25,80.86000061,80.48999786,80.75,80.04000092,80.73000336,81.08999634,80.62999725,81.15000153,78.90000153,74.79000092,74.62000275,77.15499878,74.79000092,75.48999786,75.12999725,75.53500366,80.16999817,81.51999664,81.73999786,81.73999786,80.16000366,82.76000214,82.39499664,82.69999695,82.18000031,79.23999786,76.33999634,77.56999969,79.72000122,80.66000366,80.89499664,82.63999939,90,85.12999725,85.65000153,86.26999664,87.08000183,87.51499939,88.13999939,88.26000214,85.68499756,87.36000061,88,84.63500214,85.66500092,84.15000153,86.77999878,86.91999817,86.91999817,84.41000366,85.62999725,85.54000092,86.44999695,86.51000214,84.76000214,85.25,83.79000092,84.93000031,83.79000092,85.27500153,85.75,86.76000214,89.38999939,90.33999634,90.77500153,90.41999817,88.18000031,87.38999939,86.16999817,85.73999786,87.55000305,89.26000214,86.40000153,87.01000214,88.5,88.45999908,89.02999878,89.63999939,89.01000214,88.79000092,89.09999847,90.84999847,91.66000366,90.76000214,91.375,92.47000122,91.30999756,92.63999939,92.20999908,92.20999908,90.90000153,92.66999817,93.51000214,93.94999695,94.52999878,93.02999878,93.47000122,92.66999817,91.83999634,92.13999939,91.23000336,91.46499634,90.66999817,92.70999908,93.61000061,94.40000153,94.95999908,94.62999725,94.48500061,92.16999817,93.56999969,90.63999939,89.88999939,89.37999725,92.09999847,91.27999878,91.27999878,92.69000244,92.90000153,94.84999847,93.91000366,94.61000061,94,94.05999756,94.26000214,93.94999695,94.25,94.65499878,95.23999786,96.19000244,97.12000275,97.33000183
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSS US 08/17/18 C10 Equity,Dates,43059,11/21/2017,11/22/2017,11/23/2017,11/24/2017,11/27/2017,11/28/2017,11/29/2017,11/30/2017,12/1/2017,12/4/2017,12/5/2017,12/6/2017,12/7/2017,12/8/2017,12/11/2017,12/12/2017,12/13/2017,12/14/2017,12/15/2017,12/18/2017,12/19/2017,12/20/2017,12/21/2017,12/22/2017,12/25/2017,12/26/2017,12/27/2017,12/28/2017,12/29/2017,1/1/2018,1/2/2018,1/3/2018,1/4/2018,1/5/2018,1/8/2018,1/9/2018,1/10/2018,1/11/2018,1/12/2018,1/15/2018,1/16/2018,1/17/2018,1/18/2018,1/19/2018,1/22/2018,1/23/2018,1/24/2018,1/25/2018,1/26/2018,1/29/2018,1/30/2018,1/31/2018,2/1/2018,2/2/2018,2/5/2018,2/6/2018,2/7/2018,2/8/2018,2/9/2018,2/12/2018,2/13/2018,2/14/2018,2/15/2018,2/16/2018,2/19/2018,2/20/2018,2/21/2018,2/22/2018,2/23/2018,2/26/2018,2/27/2018,2/28/2018,3/1/2018,3/2/2018,3/5/2018,3/6/2018,3/7/2018,3/8/2018,3/9/2018,3/12/2018,3/13/2018,3/14/2018,3/15/2018,3/16/2018,3/19/2018,3/20/2018,3/21/2018,3/22/2018,3/23/2018,3/26/2018,3/27/2018,3/28/2018,3/29/2018,3/30/2018,4/2/2018,4/3/2018,4/4/2018,4/5/2018,4/6/2018,4/9/2018,4/10/2018,4/11/2018,4/12/2018,4/13/2018,4/16/2018,4/17/2018,4/18/2018,4/19/2018,4/20/2018,4/23/2018,4/24/2018,4/25/2018,4/26/2018,4/27/2018,4/30/2018,5/1/2018,5/2/2018,5/3/2018,5/4/2018,5/7/2018,5/8/2018,5/9/2018,5/10/2018,5/11/2018,5/14/2018,5/15/2018,5/16/2018,5/17/2018,5/18/2018,5/21/2018,5/22/2018,5/23/2018,5/24/2018,5/25/2018,5/28/2018,5/29/2018,5/30/2018,5/31/2018,6/1/2018,6/4/2018,6/5/2018,6/6/2018,6/7/2018,6/8/2018,6/11/2018,6/12/2018,6/13/2018,6/14/2018,6/15/2018,6/18/2018,6/19/2018,6/20/2018,6/21/2018,6/22/2018,6/25/2018,6/26/2018,6/27/2018,6/28/2018,6/29/2018,7/2/2018,7/3/2018,7/4/2018,7/5/2018,7/6/2018,7/9/2018,7/10/2018,7/11/2018,7/12/2018,7/13/2018,7/16/2018,7/17/2018,7/18/2018,7/19/2018,7/20/2018,7/23/2018,7/24/2018,7/25/2018
Implied Volatility Using Ask Price,IVOL_ASK,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,92.346,90.372,97.187,96.268,89.512,89.512,88.851,94.002,86.823,92.695,92.695,91.968,92.335,94.113,78.007,83.34,89.678,88.139,83.393,77.529,77.529,94.564,82.928,85.582,89.142,85.892,98.268,100.013,99.406,97.283,97.056,98.769,97.687,95.071,97.222,97.335,106.819,111.255,111.704,111.291,108.178,68,99.154,87.779,86.628,86.628,99.524,103.536,95.753,70.742,77.631,77.669,102.227,86.949,78.782,85.187,82.12,93.216,81.972,83.641,85.535,81.71,81.196,104.327,108.017,90.318,77.964,116.966,118.524,111.578,118.938,114.565,124.272,113.67,113.67,106.595,106.34,127.339,98.866,131.945,180.434,121.032,109.828,129.611,124.489,111.262,132.039,114.595,137.493,128.884,124.943,128.768,94.051,126.492,92.421,126.571,108.459,86.268,131.184,129.758,133.857,134.349,116.629,135.013,118.534,123.914,108.848,140.37,149.83,111.547,126.861,120.637,159.021,138.873,140.679,140.679,152.436,119.752,162.8,130.192,145.82,151.796,150.125,161.268,169.594,152.149,138.854,150.193,184.825,208.326,216.166,297.764,184.24,315.372,299.266,231.923,220.772,335.362,333.482,269.695,352.991,229.342,229.342,359.78,368.229,384.892,385.195,390.57,393.147,411.924,303.013,433.292,445.321,448.259,407.282,476.59,484.701,513.374
End of Day Option Price Ask,EOD_OPTION_PRICE_ASK,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.30000019,10.80000019,11.39999962,11.5,11.19999981,11.19999981,11.10000038,11.19999981,11,11,11,10.80000019,10.69999981,10.80000019,10.5,10.39999962,10.19999981,9.89999962,10.30000019,10.39999962,10.39999962,11.10000038,11.10000038,11.10000038,11.5,11.5,11.69999981,11.69999981,11.80000019,11.60000038,11.5,11.5,11.10000038,11.10000038,10.69999981,10.10000038,10,10.39999962,10,10.30000019,10.10000038,9.19999981,9.89999962,9.80000019,10,10,10.19999981,10.5,10.19999981,9.80000019,10,10,12,11.5,12,12.30000019,12.39999962,12.89999962,12.5,13.10000038,13.10000038,12.89999962,12.60000038,12.80000019,13.39999962,12.60000038,12.30000019,13.19999981,13,12.5,13.10000038,12.39999962,12.60000038,12.69999981,12.69999981,12.30000019,12.69999981,13,13.10000038,13.39999962,13.89999962,13,12.69999981,13,12.89999962,12.80000019,13.39999962,14.30000019,14.60000038,14.19999981,13.60000038,12.89999962,12.30000019,12.69999981,12,12.30000019,11.89999962,11.80000019,12.39999962,12.60000038,12.69999981,13.39999962,13.69999981,13.60000038,13.5,13.60000038,13.80000019,14.30000019,14.89999962,14.60000038,15,14.5,14.89999962,14.60000038,14.69999981,14.69999981,14.69999981,14.60000038,14.60000038,14.39999962,14.60000038,14.89999962,15.19999981,14.80000019,14.80000019,14.69999981,14.30000019,14.10000038,14.5,14.89999962,15.19999981,16.29999924,14.80000019,16.20000076,16,14.60000038,14.69999981,16,15.80000019,14.80000019,16,14.30000019,14.30000019,16,16.20000076,16.20000076,16,15.80000019,15.80000019,16.20000076,14.80000019,16.39999962,16.39999962,16.79999924,16.10000038,16.39999962,16.39999962,16.39999962
