Start Date,11/20/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVC US 08/17/18 C10 Equity,Dates,43059,11/21/2017,11/22/2017,11/23/2017,11/24/2017,11/27/2017,11/28/2017,11/29/2017,11/30/2017,12/1/2017,12/4/2017,12/5/2017,12/6/2017,12/7/2017,12/8/2017,12/11/2017,12/12/2017,12/13/2017,12/14/2017,12/15/2017,12/18/2017,12/19/2017,12/20/2017,12/21/2017,12/22/2017,12/25/2017,12/26/2017,12/27/2017,12/28/2017,12/29/2017,1/1/2018,1/2/2018,1/3/2018,1/4/2018,1/5/2018,1/8/2018,1/9/2018,1/10/2018,1/11/2018,1/12/2018,1/15/2018,1/16/2018,1/17/2018,1/18/2018,1/19/2018,1/22/2018,1/23/2018,1/24/2018,1/25/2018,1/26/2018,1/29/2018,1/30/2018,1/31/2018,2/1/2018,2/2/2018,2/5/2018,2/6/2018,2/7/2018,2/8/2018,2/9/2018,2/12/2018,2/13/2018,2/14/2018,2/15/2018,2/16/2018,2/19/2018,2/20/2018,2/21/2018,2/22/2018,2/23/2018,2/26/2018,2/27/2018,2/28/2018,3/1/2018,3/2/2018,3/5/2018,3/6/2018,3/7/2018,3/8/2018,3/9/2018,3/12/2018,3/13/2018,3/14/2018,3/15/2018,3/16/2018,3/19/2018,3/20/2018,3/21/2018,3/22/2018,3/23/2018,3/26/2018,3/27/2018,3/28/2018,3/29/2018,3/30/2018,4/2/2018,4/3/2018,4/4/2018,4/5/2018,4/6/2018,4/9/2018,4/10/2018,4/11/2018,4/12/2018,4/13/2018,4/16/2018,4/17/2018,4/18/2018,4/19/2018,4/20/2018,4/23/2018,4/24/2018,4/25/2018,4/26/2018,4/27/2018,4/30/2018,5/1/2018,5/2/2018,5/3/2018,5/4/2018,5/7/2018,5/8/2018,5/9/2018,5/10/2018,5/11/2018,5/14/2018,5/15/2018,5/16/2018,5/17/2018,5/18/2018,5/21/2018,5/22/2018,5/23/2018,5/24/2018,5/25/2018,5/28/2018,5/29/2018,5/30/2018,5/31/2018,6/1/2018,6/4/2018,6/5/2018,6/6/2018,6/7/2018,6/8/2018,6/11/2018,6/12/2018,6/13/2018,6/14/2018,6/15/2018,6/18/2018,6/19/2018,6/20/2018,6/21/2018,6/22/2018,6/25/2018,6/26/2018,6/27/2018,6/28/2018,6/29/2018,7/2/2018,7/3/2018,7/4/2018,7/5/2018,7/6/2018,7/9/2018,7/10/2018,7/11/2018,7/12/2018,7/13/2018,7/16/2018,7/17/2018,7/18/2018,7/19/2018,7/20/2018,7/23/2018,7/24/2018,7/25/2018
Implied Volatility Using Ask Price,IVOL_ASK,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,67.632,49.263,60.125,52.5,55.28,55.28,50.765,51.301,50.635,51.359,51.359,61.71,51.486,51.967,52.173,53.909,51.517,53.7,53.212,50.91,50.91,51.693,61.64,54.604,53.227,51.596,55.793,55.491,52.68,52.187,55.011,55.223,55.815,55.593,74.835,79.74,76.493,71.807,57.67,59.95,81.218,57.009,66.038,54.64,50.491,50.491,53.265,61.604,79.351,53.438,53.603,54.258,58.307,58.499,52.61,57.449,53.201,55.693,55.384,75.304,86.821,57.251,72.235,71.999,60.115,95.522,65.371,78.814,81.063,86.405,82.569,73.529,143.218,81.934,81.934,85.119,85.501,79.174,77.472,79.693,81.123,109.864,82.831,110.213,82.551,80.612,80.853,80.378,80.153,79.994,93.243,103.196,71.477,84.773,99.31,110.206,92.9,115.322,107.982,111.774,92.785,118.329,90.245,119.631,113.201,122.877,127.324,122.726,130.012,123.395,124.751,123.969,115.946,132.428,138.657,138.657,144.73,108.262,142.625,140.149,142.169,113.44,129.339,112.242,131.224,142.703,140.514,148.068,145.904,153.128,127.114,112.312,105.056,121.907,117.771,122.598,107.532,125.774,127.033,125.961,138.329,131.475,131.475,121.363,144.803,149.375,147.647,145.07,150.776,132.899,173.274,172.851,174.644,153.612,179.691,193.731,179.796,179.796
End of Day Option Price Ask,EOD_OPTION_PRICE_ASK,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.89999998,0.55000001,0.69999999,0.5,0.55000001,0.55000001,0.44999999,0.44999999,0.40000001,0.40000001,0.40000001,0.55000001,0.34999999,0.40000001,0.40000001,0.40000001,0.34999999,0.40000001,0.44999999,0.40000001,0.40000001,0.34999999,0.60000002,0.44999999,0.44999999,0.40000001,0.44999999,0.44999999,0.40000001,0.40000001,0.44999999,0.40000001,0.34999999,0.30000001,0.60000002,0.60000002,0.55000001,0.44999999,0.25,0.30000001,0.60000002,0.25,0.40000001,0.25,0.2,0.2,0.2,0.34999999,0.60000002,0.25,0.25,0.25,0.2,0.2,0.15000001,0.2,0.15000001,0.15000001,0.15000001,0.40000001,0.55000001,0.15000001,0.30000001,0.1,0.05,0.2,0.05,0.1,0.1,0.1,0.1,0.05,0.60000002,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.30000001,0.1,0.30000001,0.1,0.1,0.1,0.1,0.1,0.1,0.15000001,0.2,0.05,0.1,0.15000001,0.2,0.1,0.2,0.15000001,0.2,0.1,0.2,0.05,0.15000001,0.1,0.15000001,0.15000001,0.15000001,0.2,0.15000001,0.15000001,0.15000001,0.1,0.15000001,0.2,0.2,0.2,0.05,0.15000001,0.15000001,0.15000001,0.05,0.1,0.05,0.1,0.15000001,0.15000001,0.2,0.15000001,0.2,0.1,0.05,0.05,0.1,0.1,0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.1,0.1,0.05,0.1,0.1,0.05,0.05
End of Day Option Price Bid,EOD_OPTION_PRICE_BID,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.25,0.34999999,0.25,0.25,0.2,0.2,0.30000001,0.30000001,0.25,0.25,0.25,0.2,0.1,0.25,0.2,0.2,0.2,0.2,0.30000001,0.25,0.25,0.2,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.15000001,0.15000001,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
End of Day Underlying Price Ask,EOD_UNDERLYING_PRICE_ASK,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7.5250001,7.7750001,7.5,7.4000001,7.375,7.375,7.375,7.3499999,7.2249999,7.17500019,7.17500019,7.05000019,7.0250001,7.17500019,7.17500019,7.0999999,7.07499981,7.125,7.3499999,7.32499981,7.32499981,7.0999999,7.32499981,7.30000019,7.4000001,7.375,7.2750001,7.30000019,7.32499981,7.375,7.4000001,7.19999981,6.9749999,6.7750001,6.7249999,6.5,6.5250001,6.44999981,6.4749999,6.57499981,6.5,6.57499981,6.67500019,6.75,6.7750001,6.7750001,6.625,6.82499981,6.7249999,6.92500019,6.94999981,6.92500019,6.4000001,6.4000001,6.4749999,6.5,6.5,6.32499981,6.3499999,6.42500019,6.42500019,6.30000019,6.25,5.0250001,5.125,4.5999999,4.8499999,4.69999981,4.5999999,4.3499999,4.57499981,4.4749999,4.57499981,4.6500001,4.6500001,4.55000019,4.55000019,4.875,4.9749999,4.875,4.8499999,4.8499999,4.80000019,4.875,4.8499999,5,5,5.05000019,5.07499981,5.0999999,4.92500019,4.8499999,5.05000019,4.9749999,4.75,4.69999981,4.69999981,4.55000019,4.5250001,4.7249999,4.82499981,4.57499981,4.4000001,4.25,4.0999999,4.2249999,4.0999999,4.2750001,4.375,4.30000019,4.32499981,4.375,4.2750001,4.1500001,4.30000019,4.30000019,4.2249999,4.1500001,4.0250001,4.125,4.1500001,4.125,4.19999981,4.2249999,4.19999981,4.3499999,4.4749999,4.5250001,4.30000019,4.44999981,4.5999999,4.55000019,4.8499999,4.875,5.05000019,5,4.9749999,4.9749999,4.9749999,5.05000019,4.80000019,5.05000019,5.05000019,4.875,4.80000019,4.82499981,4.92500019,5.05000019,4.94999981,4.92500019,4.625,4.69999981,4.7249999,4.7249999,4.75,4.67500019,4.4749999,4.4749999
End of Day Underlying Price Bid,EOD_UNDERLYING_PRICE_BID,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7.5250001,7.7750001,7.5,7.4000001,7.375,7.375,7.375,7.3499999,7.2249999,7.17500019,7.17500019,7.05000019,7.0250001,7.17500019,7.17500019,7.0999999,7.07499981,7.125,7.3499999,7.32499981,7.32499981,7.0999999,7.32499981,7.30000019,7.4000001,7.375,7.2750001,7.30000019,7.32499981,7.375,7.4000001,7.19999981,6.9749999,6.7750001,6.7249999,6.5,6.5250001,6.44999981,6.4749999,6.57499981,6.5,6.57499981,6.67500019,6.75,6.7750001,6.7750001,6.7750001,6.82499981,6.82499981,6.92500019,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,6.94999981,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV US 08/17/18 C60 Equity,Dates,43059,11/21/2017,11/22/2017,11/23/2017,11/24/2017,11/27/2017,11/28/2017,11/29/2017,11/30/2017,12/1/2017,12/4/2017,12/5/2017,12/6/2017,12/7/2017,12/8/2017,12/11/2017,12/12/2017,12/13/2017,12/14/2017,12/15/2017,12/18/2017,12/19/2017,12/20/2017,12/21/2017,12/22/2017,12/25/2017,12/26/2017,12/27/2017,12/28/2017,12/29/2017,1/1/2018,1/2/2018,1/3/2018,1/4/2018,1/5/2018,1/8/2018,1/9/2018,1/10/2018,1/11/2018,1/12/2018,1/15/2018,1/16/2018,1/17/2018,1/18/2018,1/19/2018,1/22/2018,1/23/2018,1/24/2018,1/25/2018,1/26/2018,1/29/2018,1/30/2018,1/31/2018,2/1/2018,2/2/2018,2/5/2018,2/6/2018,2/7/2018,2/8/2018,2/9/2018,2/12/2018,2/13/2018,2/14/2018,2/15/2018,2/16/2018,2/19/2018,2/20/2018,2/21/2018,2/22/2018,2/23/2018,2/26/2018,2/27/2018,2/28/2018,3/1/2018,3/2/2018,3/5/2018,3/6/2018,3/7/2018,3/8/2018,3/9/2018,3/12/2018,3/13/2018,3/14/2018,3/15/2018,3/16/2018,3/19/2018,3/20/2018,3/21/2018,3/22/2018,3/23/2018,3/26/2018,3/27/2018,3/28/2018,3/29/2018,3/30/2018,4/2/2018,4/3/2018,4/4/2018,4/5/2018,4/6/2018,4/9/2018,4/10/2018,4/11/2018,4/12/2018,4/13/2018,4/16/2018,4/17/2018,4/18/2018,4/19/2018,4/20/2018,4/23/2018,4/24/2018,4/25/2018,4/26/2018,4/27/2018,4/30/2018,5/1/2018,5/2/2018,5/3/2018,5/4/2018,5/7/2018,5/8/2018,5/9/2018,5/10/2018,5/11/2018,5/14/2018,5/15/2018,5/16/2018,5/17/2018,5/18/2018,5/21/2018,5/22/2018,5/23/2018,5/24/2018,5/25/2018,5/28/2018,5/29/2018,5/30/2018,5/31/2018,6/1/2018,6/4/2018,6/5/2018,6/6/2018,6/7/2018,6/8/2018,6/11/2018,6/12/2018,6/13/2018,6/14/2018,6/15/2018,6/18/2018,6/19/2018,6/20/2018,6/21/2018,6/22/2018,6/25/2018,6/26/2018,6/27/2018,6/28/2018,6/29/2018,7/2/2018,7/3/2018,7/4/2018,7/5/2018,7/6/2018,7/9/2018,7/10/2018,7/11/2018,7/12/2018,7/13/2018,7/16/2018,7/17/2018,7/18/2018,7/19/2018,7/20/2018,7/23/2018,7/24/2018,7/25/2018
Implied Volatility Using Ask Price,IVOL_ASK,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,32.359,32.812,33.534,33.582,33.346,33.346,33.534,33.276,33.576,33.848,33.848,33.667,33.814,33.73,33.751,33.978,34.228,32.873,33.018,33.285,33.285,33.575,33.517,33.221,33.718,33.901,33.564,33.496,33.529,33.394,33.634,34.314,34.28,34.051,33.775,34.853,35.777,36.027,38.445,41.179,36.344,33.658,33.706,32.922,34.38,34.38,34.055,33.904,34.228,33.111,33.401,34.165,33.691,35.179,35.318,35.783,34.461,34.572,34.422,33.859,34.628,35.979,34.635,34.029,34.355,35.389,34.497,34.469,35.591,36.749,36.141,35.799,36.397,36.031,36.031,39.475,37.153,38.296,37.344,38.339,38.278,37.609,38.154,37.102,36.856,35.742,35.632,34.994,34.816,35.251,33.737,36.474,35.253,35.394,37.319,33.744,36.146,36.641,35.983,36.068,35.537,36.159,37.158,32.239,31.266,32.089,31.83,31.261,30.97,32.322,31.01,32.005,30.829,31.182,31.083,31.083,31.653,31.158,31.756,30.945,31.332,31.645,31.025,31.658,32.169,32.549,31.787,32.639,33.329,35.956,35.663,34.355,40.829,42.703,43.533,43.205,43.941,44.895,42.138,40.044,40.995,42.038,42.038,44.192,41.27,43.251,41.925,42.673,42.022,42.399,44.279,42.392,42.146,45.258,45.723,43.025,44.165,44.165
End of Day Option Price Ask,EOD_OPTION_PRICE_ASK,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.79999995,2.79999995,3.20000005,3.29999995,2.9000001,2.9000001,2.79999995,2.54999995,2.4000001,2.20000005,2.20000005,2.3499999,2.75,2.70000005,2.75,2.79999995,2.79999995,2.70000005,3.29999995,3.29999995,3.29999995,2.95000005,3.29999995,3.0999999,3.4000001,3.4000001,3.29999995,2.70000005,2.95000005,3.4000001,3.4000001,3.9000001,3.4000001,3.20000005,2.9000001,2.5999999,2.75,2.70000005,2.4000001,2.95000005,2.54999995,2.29999995,3.0999999,3.4000001,4.0999999,4.0999999,4.0999999,4.30000019,3.79999995,4.19999981,4.0999999,3.79999995,3.5,3.4000001,4.30000019,4.69999981,3.9000001,4.4000001,4.5999999,5.4000001,5,4.9000001,5.19999981,4.5999999,4.4000001,4.69999981,4.9000001,5.4000001,4.9000001,4.4000001,5.0999999,4.4000001,4.30000019,4.30000019,4.30000019,3.9000001,3.0999999,3.20000005,3.20000005,2.9000001,2.54999995,2.5999999,2.5,2.79999995,2.5999999,2.70000005,2.6500001,2.79999995,2.9000001,2.6500001,2.4000001,2.45000005,2.29999995,2.3499999,2.4000001,2.0999999,2.95000005,3.4000001,2.9000001,3.4000001,3.5,3.79999995,3.9000001,2.25,2.25,1.79999995,1.64999998,1.64999998,1.75,2.1500001,1.70000005,1,1.5,1.39999998,1.5,1.5,1.39999998,1.45000005,0.94999999,1.04999995,1.14999998,1.39999998,1.79999995,1.5,2.04999995,1.95000005,2.1500001,1.89999998,2.75,2.70000005,2.8499999,3.0999999,3.4000001,3.20000005,3.4000001,2.45000005,2.5999999,1.85000002,2.0999999,1.5,1.70000005,2.29999995,2.29999995,2.29999995,2.75,3.0999999,2.3499999,2.04999995,2.45000005,2.1500001,2.4000001,2.29999995,2.20000005,2.75,2.75,3.5999999,2.45000005,2.45000005
